client_id,churn_proba
700,0.9884084
804,0.9865258
44,0.9846377
181,0.9822625
415,0.9804176
786,0.98011094
544,0.9800426
955,0.9798733
267,0.9796656
878,0.9795894
876,0.9784775
989,0.97728914
716,0.9759376
957,0.97557575
500,0.97436124
583,0.97396505
488,0.97379196
278,0.97377056
836,0.9727413
248,0.9718607
661,0.97057694
721,0.9703395
290,0.9694939
74,0.9694167
584,0.96701574
187,0.9658776
756,0.96499246
194,0.96446955
516,0.9629303
474,0.9627851
20,0.96266013
972,0.96259964
496,0.96253544
594,0.9609303
507,0.96062106
46,0.9600063
513,0.95882815
301,0.9587068
134,0.95849365
752,0.9580934
529,0.9570399
397,0.95668966
765,0.9563073
666,0.9559392
713,0.95546454
959,0.95529044
799,0.9544727
584,0.9544518
994,0.9538416
396,0.95354694
765,0.9534925
507,0.95314723
634,0.9524567
696,0.95103693
704,0.9509039
29,0.9503165
867,0.9502489
27,0.9501951
869,0.94893163
668,0.9488696
180,0.9488221
270,0.9486546
769,0.9483412
197,0.9481218
578,0.94776595
279,0.9469792
775,0.9461409
673,0.9460214
108,0.9452742
969,0.94520336
377,0.94501764
275,0.94442666
519,0.9436187
72,0.94330144
951,0.94232816
32,0.94175243
132,0.9412674
525,0.9409484
596,0.94034207
674,0.94007957
239,0.9392197
357,0.93720156
952,0.93646854
281,0.936301
265,0.9358222
917,0.9357219
79,0.9356608
344,0.9355131
480,0.9345222
820,0.9340506
430,0.9338583
2,0.93325806
665,0.9327776
422,0.9322797
391,0.93188447
457,0.93151444
376,0.9313902
206,0.92995673
767,0.9291424
712,0.9290852
49,0.9283746
119,0.92730695
197,0.9255238
467,0.9247081
788,0.9245406
384,0.9234475
483,0.9230195
683,0.92277986
986,0.922623
203,0.92223173
797,0.92144716
582,0.92068833
392,0.9202094
100,0.9200623
801,0.9195252
689,0.9193323
922,0.9192564
234,0.91706187
315,0.91416377
578,0.9140079
354,0.91369766
211,0.9133074
360,0.9114025
919,0.9086457
84,0.9074366
568,0.90651226
688,0.90583605
355,0.9056907
656,0.9053854
334,0.90307355
631,0.90253735
343,0.9011566
978,0.89363766
628,0.89292765
17,0.89220804
678,0.8896206
754,0.8895002
204,0.8892503
312,0.8878399
441,0.8867234
723,0.88651675
832,0.8843946
163,0.8836841
650,0.88212365
748,0.88100195
328,0.8809742
105,0.8804268
771,0.8800612
297,0.877148
785,0.8769397
201,0.87594235
895,0.8738377
218,0.872843
376,0.8687444
573,0.86831707
163,0.86489385
675,0.86400074
184,0.8623432
251,0.86030936
717,0.860294
195,0.85730433
260,0.85527927
619,0.8546619
610,0.8511521
280,0.85082495
504,0.8497433
638,0.8495409
142,0.84674555
900,0.8459141
497,0.84555125
875,0.84549487
468,0.8364452
987,0.83110565
81,0.82961434
571,0.82876265
413,0.8282294
562,0.82675487
576,0.8253397
831,0.8208204
309,0.81762564
283,0.8097705
63,0.8065759
571,0.8059567
274,0.80589145
802,0.80133754
555,0.79756314
373,0.79549557
939,0.79538596
906,0.79277295
458,0.79073286
444,0.7886153
200,0.7850795
888,0.7824419
66,0.77998936
378,0.77940035
958,0.76018375
702,0.75524443
672,0.75183326
910,0.75162137
209,0.75146115
620,0.74139744
743,0.73868704
36,0.73097336
591,0.72994447
944,0.7262092
732,0.7245192
943,0.7154106
95,0.70707816
133,0.70522404
672,0.7005005
993,0.6828852
501,0.6747957
340,0.6738684
366,0.6656446
701,0.6564298
461,0.6266079
663,0.5627927
846,0.54536414
713,0.5319844
398,0.50523585
41,0.5014286
407,0.4958479
139,0.48355034
11,0.46829638
436,0.4387872
250,0.42661768
455,0.38837305
541,0.37589335
741,0.3750143
755,0.35964286
503,0.35182098
157,0.35131288
942,0.35074595
71,0.31896102
189,0.31877786
327,0.31057054
122,0.30734527
730,0.3022652
645,0.29826215
4,0.294471
789,0.2919014
834,0.291135
806,0.2902116
893,0.2891866
89,0.27974305
185,0.2772085
91,0.26815122
82,0.2679018
897,0.2608132
385,0.25962958
843,0.25543624
178,0.25272414
433,0.24635449
605,0.24544887
346,0.24482013
652,0.23750758
540,0.2324744
229,0.23222773
883,0.22892947
953,0.22840832
327,0.22830354
849,0.22726585
758,0.2209658
18,0.21414596
92,0.20572
318,0.20452808
269,0.20389038
980,0.20066312
939,0.19941221
150,0.19825992
477,0.19740395
537,0.19528213
962,0.19378236
614,0.19373813
598,0.1926526
935,0.19012487
88,0.18739495
643,0.18218835
742,0.18134299
28,0.18110363
145,0.18005563
699,0.17941587
946,0.1767223
901,0.17471713
772,0.17346722
243,0.17067146
549,0.16734426
117,0.1662286
330,0.16179343
580,0.15910839
982,0.15750483
14,0.1561106
112,0.15537025
287,0.15530923
666,0.15530206
929,0.15519421
400,0.15484902
17,0.1536889
609,0.15320532
828,0.15295245
137,0.15256844
115,0.1523546
707,0.15103565
438,0.1501071
152,0.14894803
513,0.14827377
414,0.14811939
882,0.14727065
586,0.14679247
432,0.14636487
154,0.14398174
